2021-03-27 16:36:42 INFO  WaitHelper:40 -Wait a browser to:1000
2021-03-27 16:36:52 INFO  WaitHelper:153 -Waiting for page to load for :SECONDS seconds
2021-03-27 16:36:52 INFO  WaitHelper:155 -Page is loaded.
2021-03-27 16:36:52 INFO  JavaScriptHelper:70 -Scrolling Down Vertically...
2021-03-27 16:36:52 INFO  WaitHelper:40 -Wait a browser to:5000
2021-03-27 16:36:57 INFO  JavaScriptHelper:75 -Scrolling Up Vertically...
2021-03-27 16:36:57 INFO  WaitHelper:40 -Wait a browser to:6000
2021-03-27 16:37:03 INFO  AssertionHelper:32 -Verifying amount: -4.99 with -4.99
2021-03-27 16:37:03 INFO  TestListener:84 -verifyLossAmountWhenBankProviderAmountForSellingIsLowerThanTheCompanyProvidedAmount passed.
2021-03-27 16:37:04 INFO  TestListener:183 -FeatureTest finished.
